location, country, time, temp, pressure, humidity, visibility, wind speed, wind degree, clouds, date
Kladno,CZ,1652364615,22.69,1017.0,43.0,10000.0,7.72,280.0,0.0,Thu May 12 16:11:36 CEST 2022
Mladá Boleslav,CZ,1652364696,22.52,1017.0,54.0,10000.0,4.9,304.0,82.0,Thu May 12 16:11:36 CEST 2022
Olomouc,CZ,1652364547,24.16,1016.0,58.0,10000.0,6.69,318.0,16.0,Thu May 12 16:11:36 CEST 2022
Ostrava,CZ,1652364654,27.22,1015.0,34.0,10000.0,7.2,290.0,0.0,Thu May 12 16:11:37 CEST 2022
Pardubice,CZ,1652364556,23.4,1016.0,42.0,10000.0,3.6,290.0,0.0,Thu May 12 16:11:37 CEST 2022
Kladno,CZ,1652365356,22.79,1017.0,42.0,10000.0,6.69,270.0,0.0,Thu May 12 16:22:36 CEST 2022
Mladá Boleslav,CZ,1652365356,22.73,1017.0,54.0,10000.0,4.9,304.0,82.0,Thu May 12 16:22:36 CEST 2022
Olomouc,CZ,1652365311,25.12,1016.0,58.0,10000.0,6.69,318.0,16.0,Thu May 12 16:22:36 CEST 2022
Ostrava,CZ,1652365356,27.18,1015.0,34.0,10000.0,5.14,300.0,0.0,Thu May 12 16:22:36 CEST 2022
Pardubice,CZ,1652365356,23.88,1016.0,41.0,10000.0,4.02,300.0,0.0,Thu May 12 16:22:36 CEST 2022
Kladno,CZ,1652366015,22.58,1017.0,44.0,10000.0,6.69,270.0,0.0,Thu May 12 16:33:35 CEST 2022
Mladá Boleslav,CZ,1652366015,23.22,1017.0,55.0,10000.0,3.9,318.0,87.0,Thu May 12 16:33:35 CEST 2022
Olomouc,CZ,1652366015,25.6,1016.0,60.0,10000.0,5.47,320.0,14.0,Thu May 12 16:33:35 CEST 2022
Ostrava,CZ,1652366015,27.22,1015.0,34.0,10000.0,5.14,300.0,0.0,Thu May 12 16:33:35 CEST 2022
Pardubice,CZ,1652365769,24.03,1016.0,41.0,10000.0,3.09,310.0,0.0,Thu May 12 16:33:35 CEST 2022
Kladno,CZ,1652366675,22.29,1017.0,45.0,10000.0,6.17,270.0,0.0,Thu May 12 16:44:35 CEST 2022
Mladá Boleslav,CZ,1652366479,23.22,1017.0,55.0,10000.0,3.9,318.0,87.0,Thu May 12 16:44:35 CEST 2022
Olomouc,CZ,1652366675,25.6,1016.0,60.0,10000.0,5.47,320.0,14.0,Thu May 12 16:44:35 CEST 2022
Ostrava,CZ,1652366507,27.22,1015.0,34.0,10000.0,5.14,300.0,0.0,Thu May 12 16:44:35 CEST 2022
Pardubice,CZ,1652366675,23.9,1016.0,41.0,10000.0,5.14,280.0,0.0,Thu May 12 16:44:35 CEST 2022
Kladno,CZ,1652367446,22.2,1017.0,46.0,10000.0,6.17,270.0,0.0,Thu May 12 17:01:56 CEST 2022
Mladá Boleslav,CZ,1652367717,24.14,1017.0,55.0,10000.0,3.9,318.0,87.0,Thu May 12 17:01:57 CEST 2022
Olomouc,CZ,1652367717,23.58,1016.0,60.0,10000.0,5.47,320.0,14.0,Thu May 12 17:01:57 CEST 2022
Ostrava,CZ,1652367620,25.22,1015.0,38.0,10000.0,5.66,280.0,0.0,Thu May 12 17:01:57 CEST 2022
Pardubice,CZ,1652367425,23.9,1016.0,41.0,10000.0,5.14,280.0,0.0,Thu May 12 17:01:57 CEST 2022
Kladno,CZ,1652368080,22.09,1017.0,43.0,10000.0,6.17,270.0,0.0,Thu May 12 17:12:18 CEST 2022
Mladá Boleslav,CZ,1652368338,23.03,1017.0,55.0,10000.0,3.9,318.0,87.0,Thu May 12 17:12:18 CEST 2022
Olomouc,CZ,1652368338,24.69,1016.0,60.0,10000.0,5.47,320.0,14.0,Thu May 12 17:12:18 CEST 2022
Ostrava,CZ,1652368192,25.22,1015.0,38.0,10000.0,5.66,280.0,0.0,Thu May 12 17:12:18 CEST 2022
Pardubice,CZ,1652368199,24.03,1016.0,41.0,10000.0,5.14,280.0,0.0,Thu May 12 17:12:18 CEST 2022
Kladno,CZ,1652368994,22.38,1017.0,43.0,10000.0,7.2,270.0,0.0,Thu May 12 17:23:14 CEST 2022
Mladá Boleslav,CZ,1652368994,22.57,1017.0,55.0,10000.0,3.9,318.0,87.0,Thu May 12 17:23:14 CEST 2022
